max_depth	min_split	vminbucket	vcp	ganancia_promedio
4	10	2.5	-0.5	46536000
4	10	3.33333333333333	-0.5	46512000
4	10	5	-0.5	46512000
4	10	10	-0.5	46820000
4	10	5	-0.5	46512000
4	10	2	-0.5	46536000
4	10	2.5	-0.3	46536000
4	10	3.33333333333333	-0.3	46512000
4	10	5	-0.3	46512000
4	10	10	-0.3	46820000
4	10	5	-0.3	46512000
4	10	2	-0.3	46536000
4	10	2.5	-0.1	46536000
4	10	3.33333333333333	-0.1	46512000
4	10	5	-0.1	46512000
4	10	10	-0.1	46820000
4	10	5	-0.1	46512000
4	10	2	-0.1	46536000
4	10	2.5	0	29236000
4	10	3.33333333333333	0	29236000
4	10	5	0	29236000
4	10	10	0	6444000
4	10	5	0	29236000
4	10	2	0	29236000
4	20	5	-0.5	46512000
4	20	6.66666666666667	-0.5	46540000
4	20	10	-0.5	46820000
4	20	10	-0.5	46820000
4	20	5	-0.5	46512000
4	20	2	-0.5	46536000
4	20	5	-0.3	46512000
4	20	6.66666666666667	-0.3	46540000
4	20	10	-0.3	46820000
4	20	10	-0.3	46820000
4	20	5	-0.3	46512000
4	20	2	-0.3	46536000
4	20	5	-0.1	46512000
4	20	6.66666666666667	-0.1	46540000
4	20	10	-0.1	46820000
4	20	10	-0.1	46820000
4	20	5	-0.1	46512000
4	20	2	-0.1	46536000
4	20	5	0	21270000
4	20	6.66666666666667	0	21468000
4	20	10	0	6444000
4	20	10	0	6444000
4	20	5	0	21270000
4	20	2	0	21270000
4	40	10	-0.5	46820000
4	40	13.3333333333333	-0.5	46960000
4	40	20	-0.5	47118000
4	40	10	-0.5	46820000
4	40	5	-0.5	46512000
4	40	2	-0.5	46536000
4	40	10	-0.3	46820000
4	40	13.3333333333333	-0.3	46960000
4	40	20	-0.3	47118000
4	40	10	-0.3	46820000
4	40	5	-0.3	46512000
4	40	2	-0.3	46536000
4	40	10	-0.1	46820000
4	40	13.3333333333333	-0.1	46960000
4	40	20	-0.1	47118000
4	40	10	-0.1	46820000
4	40	5	-0.1	46512000
4	40	2	-0.1	46536000
4	40	10	0	6444000
4	40	13.3333333333333	0	6444000
4	40	20	0	0
4	40	10	0	6444000
4	40	5	0	21270000
4	40	2	0	21270000
4	80	20	-0.5	47098000
4	80	26.6666666666667	-0.5	47356000
4	80	40	-0.5	47544000
4	80	10	-0.5	46792000
4	80	5	-0.5	46536000
4	80	2	-0.5	46536000
4	80	20	-0.3	47098000
4	80	26.6666666666667	-0.3	47356000
4	80	40	-0.3	47544000
4	80	10	-0.3	46792000
4	80	5	-0.3	46536000
4	80	2	-0.3	46536000
4	80	20	-0.1	47098000
4	80	26.6666666666667	-0.1	47356000
4	80	40	-0.1	47544000
4	80	10	-0.1	46792000
4	80	5	-0.1	46536000
4	80	2	-0.1	46536000
4	80	20	0	0
4	80	26.6666666666667	0	0
4	80	40	0	0
4	80	10	0	0
4	80	5	0	14826000
4	80	2	0	14826000
4	160	40	-0.5	47562000
4	160	53.3333333333333	-0.5	47562000
4	160	80	-0.5	48818000
4	160	10	-0.5	46762000
4	160	5	-0.5	46506000
4	160	2	-0.5	46506000
4	160	40	-0.3	47562000
4	160	53.3333333333333	-0.3	47562000
4	160	80	-0.3	48818000
4	160	10	-0.3	46762000
4	160	5	-0.3	46506000
4	160	2	-0.3	46506000
4	160	40	-0.1	47562000
4	160	53.3333333333333	-0.1	47562000
4	160	80	-0.1	48818000
4	160	10	-0.1	46762000
4	160	5	-0.1	46506000
4	160	2	-0.1	46506000
4	160	40	0	0
4	160	53.3333333333333	0	0
4	160	80	0	0
4	160	10	0	0
4	160	5	0	14954000
4	160	2	0	14954000
4	320	80	-0.5	48818000
4	320	106.666666666667	-0.5	49398000
4	320	160	-0.5	49588000
4	320	10	-0.5	46762000
4	320	5	-0.5	46506000
4	320	2	-0.5	46506000
4	320	80	-0.3	48818000
4	320	106.666666666667	-0.3	49398000
4	320	160	-0.3	49588000
4	320	10	-0.3	46762000
4	320	5	-0.3	46506000
4	320	2	-0.3	46506000
4	320	80	-0.1	48818000
4	320	106.666666666667	-0.1	49398000
4	320	160	-0.1	49588000
4	320	10	-0.1	46762000
4	320	5	-0.1	46506000
4	320	2	-0.1	46506000
4	320	80	0	0
4	320	106.666666666667	0	0
4	320	160	0	0
4	320	10	0	0
4	320	5	0	14954000
4	320	2	0	14954000
4	640	160	-0.5	49588000
4	640	213.333333333333	-0.5	49446000
4	640	320	-0.5	49302000
4	640	10	-0.5	46762000
4	640	5	-0.5	46506000
4	640	2	-0.5	46506000
4	640	160	-0.3	49588000
4	640	213.333333333333	-0.3	49446000
4	640	320	-0.3	49302000
4	640	10	-0.3	46762000
4	640	5	-0.3	46506000
4	640	2	-0.3	46506000
4	640	160	-0.1	49588000
4	640	213.333333333333	-0.1	49446000
4	640	320	-0.1	49302000
4	640	10	-0.1	46762000
4	640	5	-0.1	46506000
4	640	2	-0.1	46506000
4	640	160	0	0
4	640	213.333333333333	0	0
4	640	320	0	0
4	640	10	0	0
4	640	5	0	14954000
4	640	2	0	14954000
6	10	2.5	-0.5	47544000
6	10	3.33333333333333	-0.5	47426000
6	10	5	-0.5	47176000
6	10	10	-0.5	47212000
6	10	5	-0.5	47176000
6	10	2	-0.5	47544000
6	10	2.5	-0.3	47544000
6	10	3.33333333333333	-0.3	47426000
6	10	5	-0.3	47176000
6	10	10	-0.3	47212000
6	10	5	-0.3	47176000
6	10	2	-0.3	47544000
6	10	2.5	-0.1	47544000
6	10	3.33333333333333	-0.1	47426000
6	10	5	-0.1	47176000
6	10	10	-0.1	47212000
6	10	5	-0.1	47176000
6	10	2	-0.1	47544000
6	10	2.5	0	46262000
6	10	3.33333333333333	0	46248000
6	10	5	0	45502000
6	10	10	0	45838000
6	10	5	0	45502000
6	10	2	0	46262000
6	20	5	-0.5	47280000
6	20	6.66666666666667	-0.5	47492000
6	20	10	-0.5	47212000
6	20	10	-0.5	47212000
6	20	5	-0.5	47280000
6	20	2	-0.5	47654000
6	20	5	-0.3	47280000
6	20	6.66666666666667	-0.3	47492000
6	20	10	-0.3	47212000
6	20	10	-0.3	47212000
6	20	5	-0.3	47280000
6	20	2	-0.3	47654000
6	20	5	-0.1	47280000
6	20	6.66666666666667	-0.1	47492000
6	20	10	-0.1	47212000
6	20	10	-0.1	47212000
6	20	5	-0.1	47280000
6	20	2	-0.1	47654000
6	20	5	0	45484000
6	20	6.66666666666667	0	45708000
